,year,counry,metabolite,daily mean,weekday mean,weekend mean
514,2014,GB,cocaine,985.6300000000001,900.9399999999999,1049.1399999999999
515,2015,GB,amphetamine,82.64,82.06,83.07
516,2015,GB,methamphetamine,1.19,1.13,1.23
517,2015,GB,MDMA,108.06,66.11,139.54
518,2015,GB,cannabis,,,
519,2015,GB,cocaine,1215.6799999999998,968.74,1400.9
520,2016,GB,amphetamine,105.61,97.3,111.84
521,2016,GB,methamphetamine,0.0,0.0,0.0
522,2016,GB,MDMA,51.22,14.2,78.98
523,2016,GB,cannabis,,,
524,2016,GB,cocaine,1285.33,1036.18,1498.29
525,2017,GB,amphetamine,53.76,50.88,55.91
526,2017,GB,methamphetamine,0.89,0.1,1.48
527,2017,GB,MDMA,33.04,13.7,47.55
528,2017,GB,cannabis,,,
529,2017,GB,cocaine,754.74,549.85,908.4
530,2018,GB,amphetamine,,,
531,2018,GB,methamphetamine,8.03,8.58,7.61
532,2018,GB,MDMA,,,
533,2018,GB,cannabis,,,
534,2018,GB,cocaine,969.23,743.2,1138.76
535,2019,GB,amphetamine,,,
536,2019,GB,methamphetamine,57.59,53.58,60.6
537,2019,GB,MDMA,50.38,30.2,65.51
538,2019,GB,cannabis,,,
539,2019,GB,cocaine,618.82,509.08,701.13
540,2020,GB,amphetamine,,,
541,2020,GB,methamphetamine,,,
542,2020,GB,MDMA,,,
543,2020,GB,cannabis,,,
544,2020,GB,cocaine,,,
545,2021,GB,amphetamine,,,
546,2021,GB,methamphetamine,6.94,5.9,8.34
547,2021,GB,MDMA,18.07,14.93,22.25
548,2021,GB,cannabis,,,
549,2021,GB,cocaine,750.71,505.49,1077.68
550,2011,GR,amphetamine,,,
551,2011,GR,methamphetamine,,,
552,2011,GR,MDMA,,,
553,2011,GR,cannabis,,,
554,2011,GR,cocaine,,,
555,2012,GR,amphetamine,,,
556,2012,GR,methamphetamine,,,
557,2012,GR,MDMA,,,
558,2012,GR,cannabis,,,
